,pca-2d-one,pca-2d-two,Type,image_name
0,-23.589695,40.710773,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/POLANDTMA_R17_V01_MEL07_MDA_S0M3_TRITC10241024.tiff
1,-21.666107,51.752495,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/POLANDTMA_R17_V01_MEL07_MDA_S0M3_TRITC5121536.tiff
2,-21.64024,25.309048,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/POLANDTMA_R17_V01_MEL07_MDA_S0M3_TRITC01024.tiff
3,-20.5686,16.916851,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/POLANDTMA_R17_V01_MEL07_MDA_S0M3_TRITC512512.tiff
4,-20.82935,20.608517,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/POLANDTMA_R17_V01_MEL07_MDA_S0M0_TRITC00.tiff
5,-22.917072,35.37165,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/POLANDTMA_R17_V01_MEL07_MDA_S0M0_TRITC0512.tiff
6,-21.63348,24.595667,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S7_TRITC15361024.tiff
7,-22.94605,34.545925,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S54_TRITC40962048.tiff
8,-19.796886,15.294415,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S53_TRITC30722048.tiff
9,-19.20658,9.429236,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S52_TRITC35841536.tiff
10,-19.59701,15.861832,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S50_TRITC15363584.tiff
11,-18.760736,8.6527405,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S49_TRITC40961536.tiff
12,-19.283455,8.459774,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S1M4_TRITC5120.tiff
13,-19.242237,23.872349,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S1M5_TRITC5121024.tiff
14,-17.640913,2.1919248,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S2M6_TRITC512512.tiff
15,-24.36367,44.311115,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S3M1_TRITC1024512.tiff
16,-20.437489,15.607813,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S3M5_TRITC01536.tiff
17,-19.739878,18.535849,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S3M5_TRITC5121536.tiff
18,-25.561258,48.025066,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S4M3_TRITC512512.tiff
19,-19.226284,8.898199,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S6M5_TRITC5121536.tiff
20,-16.156326,-3.3494825,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S7M6_TRITC01024.tiff
21,-18.549982,7.5671573,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S7M9_TRITC01536.tiff
22,-19.378822,12.789273,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S9M7_TRITC10240.tiff
23,-17.943916,1.0399979,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S9M8_TRITC1024512.tiff
24,-19.678122,14.413081,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S10M3_TRITC10240.tiff
25,-22.185541,36.144875,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S10M4_TRITC10241024.tiff
26,-20.604506,17.355742,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S10M7_TRITC0512.tiff
27,-22.518055,34.953976,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S11M3_TRITC10241024.tiff
28,-18.394526,5.566716,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ITALYTMA_R16_V01_MEL05_MDA_S11M5_TRITC0512.tiff
29,-23.624882,38.611618,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S0_TRITC.tiff_984_984.tiff
30,-20.345253,14.161875,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S0_TRITC.tiff_1968_1476.tiff
31,-19.735472,12.400831,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S0_TRITC.tiff_1968_1968.tiff
32,-22.906286,31.425226,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S0_TRITC.tiff_1968_2952.tiff
33,-19.67211,12.639322,Artifact,/mnt/data/QC_raw_images/Madhavi/antibody aggregation/Images2/train/Artifacts/ND_TMA_20210101_R14_V01_S0_TRITC.tiff_2460_984.tiff
