,pca-2d-one,pca-2d-two,Type,image_name
0,54.501144,-3.1388717,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200530_33R-Scene-01-ScanRegion0_S0M4_DAPI512512.tiff
1,36.182083,-3.7666402,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200530_33R-Scene-01-ScanRegion0_S0M4_DAPI1024512.tiff
2,-13.43896,-4.450885,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200522_27R-Scene-04-ScanRegion3_S0M4_DAPI0512.tiff
3,25.136913,-7.1222477,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DT1_R09_V1-Scene-04-ScanRegion3_S0M1_DAPI5121536.tiff
4,97.294846,2.9037979,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DT1_R09_V1-Scene-04-ScanRegion3_S0M1_DAPI10241536.tiff
5,9.90163,-6.8155723,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200513_20R-Scene-34-ScanRegion33_S0M1_DAPI512512.tiff
6,15.091082,-5.8539743,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200513_20R-Scene-34-ScanRegion33_S0M1_DAPI5121024.tiff
7,-18.114956,-3.594297,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200513_20R-Scene-34-ScanRegion33_S0M1_DAPI5121536.tiff
8,-0.394634,-6.305304,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200513_20R-Scene-34-ScanRegion33_S0M1_DAPI10240.tiff
9,24.499752,-4.7145867,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200513_20R-Scene-34-ScanRegion33_S0M1_DAPI10241024.tiff
10,14.68448,-5.5557046,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/DLBCL10_20200513_20R-Scene-34-ScanRegion33_S0M1_DAPI10241536.tiff
11,120.87338,3.3991826,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/POLANDTMA_R01_V01_MEL07_MDA_S15M10_DAPI15361024.tiff
12,132.49799,8.232532,Artifact,/mnt/data/QC_raw_images/Madhavi/External artifacts/Model512_1008//train/Artifacts/POLANDTMA_R01_V01_MEL07_MDA_S16M7_DAPI5121024.tiff
