,pca-2d-one,pca-2d-two,Type,image_name
0,-23.5197,6.4655604,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S20M3_DAPI01024.tiff
1,-27.505013,16.386738,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S20M3_DAPI01536.tiff
2,-18.907461,-1.989274,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S20M3_DAPI5121024.tiff
3,-19.861052,-0.5383148,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S20M3_DAPI5121536.tiff
4,0.84605783,-7.7586975,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S20M4_DAPI5121536.tiff
5,-22.432865,6.994141,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S23M6_DAPI512512.tiff
6,-26.191545,10.533389,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S23M6_DAPI5121536.tiff
7,-27.375603,14.478899,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S23M6_DAPI10241536.tiff
8,-19.73362,-3.2092288,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S25M2_DAPI00.tiff
9,-22.2544,-2.0968282,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S25M2_DAPI0512.tiff
10,-20.549273,-4.958033,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S25M2_DAPI5121024.tiff
11,-25.844702,6.2661943,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S30M5_DAPI00.tiff
12,-19.168732,-6.326079,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S30M5_DAPI512512.tiff
13,-18.602945,-5.6541553,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/DLBCL13_R20_V01_DLBCL_LM_S31M5_DAPI10240.tiff
14,-16.137777,-2.981203,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M77_DAPI0512.tiff
15,-14.374419,-4.364326,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M77_DAPI512512.tiff
16,-14.675042,2.9111476,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M77_DAPI5121024.tiff
17,-21.522718,1.8827022,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M103_DAPI5121536.tiff
18,-23.96443,9.147491,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M103_DAPI10241536.tiff
19,-20.549417,-2.01279,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M124_DAPI00.tiff
20,-25.349838,11.250358,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M124_DAPI10240.tiff
21,-17.97787,-6.8037915,Artifact,/mnt/data/QC_raw_images/Madhavi/Tissue fold/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M124_DAPI1024512.tiff
