,pca-2d-one,pca-2d-two,Type,image_name
0,3.5783315,-6.7123675,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/POLANDTMA_R01_V01_MEL07_MDA_S0M5_DAPI01024.tiff
1,-1.9895778,-6.9246354,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/POLANDTMA_R01_V01_MEL07_MDA_S20M7_DAPI01024.tiff
2,32.03334,7.480499,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/POLANDTMA_R01_V01_MEL07_MDA_S0M1_DAPI15361536.tiff
3,17.106222,-1.4174763,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/POLANDTMA_R01_V01_MEL07_MDA_S0M1_DAPI10241024.tiff
4,3.6121793,-5.9095325,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/P8_20200512_18R-Scene-3-ScanRegion2_S0M27_DAPI01024.tiff
5,16.193453,-1.6921765,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/P8_20200512_18R-Scene-3-ScanRegion2_S0M27_DAPI01536.tiff
6,10.70556,-1.0919904,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CTR_20200428_08R-Scene-021-ScanRegion20_S0M4_DAPI15360.tiff
7,28.293247,4.5631523,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/P9_20200422_04R-Scene-1-ScanRegion0_S0M10_DAPI00.tiff
8,-6.606013,-1.4991319,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/NAS_20200504_12R-Scene-041-ScanRegion40_S0M0_DAPI15360.tiff
9,3.5364695,-7.501141,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC004_R10_V01_CRC01_MVM_S0M104_DAPI1024512.tiff
10,8.915518,-6.706581,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M162_DAPI10241536.tiff
11,23.857634,1.2670846,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M166_DAPI5120.tiff
12,-4.2665744,-8.355892,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M167_DAPI10240.tiff
13,17.956503,1.9520657,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M167_DAPI1024512.tiff
14,15.546576,-3.9960701,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M185_DAPI10240.tiff
15,39.833847,12.420302,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M217_DAPI15361536.tiff
16,19.721949,-1.313695,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M95_DAPI10241536.tiff
17,8.337272,-5.748868,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M107_DAPI01536.tiff
18,24.062502,1.5135509,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M118_DAPI10240.tiff
19,-0.99575216,-6.753156,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M118_DAPI15360.tiff
20,9.074807,-3.674014,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M121_DAPI5120.tiff
21,2.55204,-5.974396,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M121_DAPI1536512.tiff
22,-4.2371297,-5.1074963,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M122_DAPI0512.tiff
23,28.730701,5.32701,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M128_DAPI01024.tiff
24,2.5585532,-7.0444174,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M130_DAPI1024512.tiff
25,12.85194,-5.1752863,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M140_DAPI15361024.tiff
26,40.386486,12.61797,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M141_DAPI01024.tiff
27,39.228477,11.875139,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M141_DAPI10241536.tiff
28,13.112369,-0.7554307,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M142_DAPI15361536.tiff
29,24.747837,1.7672402,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M143_DAPI15361024.tiff
30,13.989942,-6.594173,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M144_DAPI512512.tiff
31,51.45001,21.237717,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M240_DAPI15360.tiff
32,22.755972,0.43233007,Artifact,/mnt/data/QC_raw_images/Madhavi/Air bubbles/Model1008/train/Artifacts/CRC007_R11_V01_CRC01_MVM_S0M248_DAPI1536512.tiff
